"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 02 02:23:41 GMT 2023","Mon Oct 02 02:23:41 GMT 2023","396","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Mon Oct 02 02:23:44 GMT 2023","Mon Oct 02 02:23:45 GMT 2023","455","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Mon Oct 02 02:23:44 GMT 2023","Mon Oct 02 02:23:44 GMT 2023","758","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Mon Oct 02 02:23:45 GMT 2023","Mon Oct 02 02:23:45 GMT 2023","520","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Mon Oct 02 02:23:48 GMT 2023","Mon Oct 02 02:23:50 GMT 2023","1212","","Form Authentication","","","","validate, login successful text",""
