"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","979","validate, login successful text","","Sun Apr 13 04:08:36 GMT 2025","passed","Sun Apr 13 04:08:37 GMT 2025","","Form Authentication","",""
"","277","validate, hearder text and ab testing header text","","Sun Apr 13 04:08:30 GMT 2025","passed","Sun Apr 13 04:08:30 GMT 2025","","A/B Testing","",""
"","431","validate, delete button is visible & exist","","Sun Apr 13 04:08:33 GMT 2025","passed","Sun Apr 13 04:08:33 GMT 2025","","Add Remove Elements","",""
"","494","validate, delete button is not visible & not exist","","Sun Apr 13 04:08:33 GMT 2025","passed","Sun Apr 13 04:08:33 GMT 2025","","Add Remove Elements","",""
"","848","validate, add element button is visible","","Sun Apr 13 04:08:32 GMT 2025","passed","Sun Apr 13 04:08:33 GMT 2025","","Add Remove Elements","",""
