"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","validate, delete button is visible & exist","","Tue Nov 11 03:17:46 UTC 2025","passed","Tue Nov 11 03:17:47 UTC 2025","","Add Remove Elements","",""
"","201","validate, hearder text and ab testing header text","","Tue Nov 11 03:17:44 UTC 2025","passed","Tue Nov 11 03:17:45 UTC 2025","","A/B Testing","",""
"","818","validate, login successful text","","Tue Nov 11 03:17:49 UTC 2025","passed","Tue Nov 11 03:17:50 UTC 2025","","Form Authentication","",""
"","393","validate, add element button is visible","","Tue Nov 11 03:17:46 UTC 2025","passed","Tue Nov 11 03:17:46 UTC 2025","","Add Remove Elements","",""
"","356","validate, delete button is not visible & not exist","","Tue Nov 11 03:17:47 UTC 2025","passed","Tue Nov 11 03:17:47 UTC 2025","","Add Remove Elements","",""
