"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","488","validate, delete button is not visible & not exist","","2026-09-19","passed","2026-09-19","","Add Remove Elements","",""
"","894","validate, add element button is visible","","2026-09-19","passed","2026-09-19","","Add Remove Elements","",""
"","433","validate, delete button is visible & exist","","2026-09-19","passed","2026-09-19","","Add Remove Elements","",""
"","271","validate, hearder text and ab testing header text","","2026-09-19","passed","2026-09-19","","A/B Testing","",""
"","974","validate, login successful text","","2026-09-19","passed","2026-09-19","","Form Authentication","",""
