"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 02:23:17 GMT 2024","Mon Feb 19 02:23:18 GMT 2024","396","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Mon Feb 19 02:23:17 GMT 2024","Mon Feb 19 02:23:17 GMT 2024","711","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Mon Feb 19 02:23:18 GMT 2024","Mon Feb 19 02:23:19 GMT 2024","846","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Mon Feb 19 02:23:15 GMT 2024","Mon Feb 19 02:23:15 GMT 2024","246","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Mon Feb 19 02:23:21 GMT 2024","Mon Feb 19 02:23:22 GMT 2024","939","","Form Authentication","","","","validate, login successful text",""
