"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","343","validate, add element button is visible","","2026-09-03","passed","2026-09-03","","Add Remove Elements","",""
"","769","validate, login successful text","","2026-09-03","passed","2026-09-03","","Form Authentication","",""
"","325","validate, delete button is not visible & not exist","","2026-09-03","passed","2026-09-03","","Add Remove Elements","",""
"","206","validate, hearder text and ab testing header text","","2026-09-03","passed","2026-09-03","","A/B Testing","",""
"","358","validate, delete button is visible & exist","","2026-09-03","passed","2026-09-03","","Add Remove Elements","",""
