"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","513","validate, add element button is visible","","Thu Aug 21 03:11:14 UTC 2025","passed","Thu Aug 21 03:11:14 UTC 2025","","Add Remove Elements","",""
"","274","validate, hearder text and ab testing header text","","Thu Aug 21 03:11:12 UTC 2025","passed","Thu Aug 21 03:11:12 UTC 2025","","A/B Testing","",""
"","419","validate, delete button is not visible & not exist","","Thu Aug 21 03:11:15 UTC 2025","passed","Thu Aug 21 03:11:15 UTC 2025","","Add Remove Elements","",""
"","348","validate, delete button is visible & exist","","Thu Aug 21 03:11:14 UTC 2025","passed","Thu Aug 21 03:11:15 UTC 2025","","Add Remove Elements","",""
"","925","validate, login successful text","","Thu Aug 21 03:11:17 UTC 2025","passed","Thu Aug 21 03:11:18 UTC 2025","","Form Authentication","",""
