"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","399","validate, add element button is visible","","Mon Apr 06 04:48:34 UTC 2026","passed","Mon Apr 06 04:48:35 UTC 2026","","Add Remove Elements","",""
"","185","validate, hearder text and ab testing header text","","Mon Apr 06 04:48:33 UTC 2026","passed","Mon Apr 06 04:48:33 UTC 2026","","A/B Testing","",""
"","850","validate, login successful text","","Mon Apr 06 04:48:37 UTC 2026","passed","Mon Apr 06 04:48:38 UTC 2026","","Form Authentication","",""
"","359","validate, delete button is not visible & not exist","","Mon Apr 06 04:48:35 UTC 2026","passed","Mon Apr 06 04:48:35 UTC 2026","","Add Remove Elements","",""
"","281","validate, delete button is visible & exist","","Mon Apr 06 04:48:35 UTC 2026","passed","Mon Apr 06 04:48:35 UTC 2026","","Add Remove Elements","",""
