"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 02 03:04:28 GMT 2023","Sun Jul 02 03:04:29 GMT 2023","312","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Jul 02 03:04:31 GMT 2023","Sun Jul 02 03:04:31 GMT 2023","646","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Jul 02 03:04:32 GMT 2023","Sun Jul 02 03:04:32 GMT 2023","570","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Jul 02 03:04:35 GMT 2023","Sun Jul 02 03:04:36 GMT 2023","1025","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Jul 02 03:04:31 GMT 2023","Sun Jul 02 03:04:32 GMT 2023","430","","Add Remove Elements","","","","validate, delete button is visible & exist",""
