"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","825","validate, login successful text","","Fri Aug 22 03:11:38 UTC 2025","passed","Fri Aug 22 03:11:38 UTC 2025","","Form Authentication","",""
"","381","validate, add element button is visible","","Fri Aug 22 03:11:35 UTC 2025","passed","Fri Aug 22 03:11:35 UTC 2025","","Add Remove Elements","",""
"","202","validate, hearder text and ab testing header text","","Fri Aug 22 03:11:33 UTC 2025","passed","Fri Aug 22 03:11:33 UTC 2025","","A/B Testing","",""
"","348","validate, delete button is not visible & not exist","","Fri Aug 22 03:11:36 UTC 2025","passed","Fri Aug 22 03:11:36 UTC 2025","","Add Remove Elements","",""
"","270","validate, delete button is visible & exist","","Fri Aug 22 03:11:35 UTC 2025","passed","Fri Aug 22 03:11:36 UTC 2025","","Add Remove Elements","",""
