"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 02:34:41 GMT 2023","Mon May 08 02:34:42 GMT 2023","410","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Mon May 08 02:34:44 GMT 2023","Mon May 08 02:34:45 GMT 2023","962","","Form Authentication","","","","validate, login successful text",""
"passed","Mon May 08 02:34:40 GMT 2023","Mon May 08 02:34:41 GMT 2023","492","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Mon May 08 02:34:38 GMT 2023","Mon May 08 02:34:38 GMT 2023","298","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Mon May 08 02:34:41 GMT 2023","Mon May 08 02:34:41 GMT 2023","350","","Add Remove Elements","","","","validate, delete button is visible & exist",""
