"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","validate, hearder text and ab testing header text","","2026-08-21","passed","2026-08-21","","A/B Testing","",""
"","757","validate, add element button is visible","","2026-08-21","passed","2026-08-21","","Add Remove Elements","",""
"","464","validate, delete button is not visible & not exist","","2026-08-21","passed","2026-08-21","","Add Remove Elements","",""
"","395","validate, delete button is visible & exist","","2026-08-21","passed","2026-08-21","","Add Remove Elements","",""
"","941","validate, login successful text","","2026-08-21","passed","2026-08-21","","Form Authentication","",""
