"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","856","validate, login successful text","","2026-08-15","passed","2026-08-15","","Form Authentication","",""
"","407","validate, add element button is visible","","2026-08-15","passed","2026-08-15","","Add Remove Elements","",""
"","234","validate, hearder text and ab testing header text","","2026-08-15","passed","2026-08-15","","A/B Testing","",""
"","283","validate, delete button is visible & exist","","2026-08-15","passed","2026-08-15","","Add Remove Elements","",""
"","359","validate, delete button is not visible & not exist","","2026-08-15","passed","2026-08-15","","Add Remove Elements","",""
