"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","validate, delete button is not visible & not exist","","2026-08-22","passed","2026-08-22","","Add Remove Elements","",""
"","275","validate, hearder text and ab testing header text","","2026-08-22","passed","2026-08-22","","A/B Testing","",""
"","422","validate, delete button is visible & exist","","2026-08-22","passed","2026-08-22","","Add Remove Elements","",""
"","985","validate, login successful text","","2026-08-22","passed","2026-08-22","","Form Authentication","",""
"","895","validate, add element button is visible","","2026-08-22","passed","2026-08-22","","Add Remove Elements","",""
