"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","validate, add element button is visible","","2026-07-08","passed","2026-07-08","","Add Remove Elements","",""
"","876","validate, login successful text","","2026-07-08","passed","2026-07-08","","Form Authentication","",""
"","310","validate, delete button is visible & exist","","2026-07-08","passed","2026-07-08","","Add Remove Elements","",""
"","394","validate, delete button is not visible & not exist","","2026-07-08","passed","2026-07-08","","Add Remove Elements","",""
"","230","validate, hearder text and ab testing header text","","2026-07-08","passed","2026-07-08","","A/B Testing","",""
