"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","validate, delete button is visible & exist","","Fri Feb 07 02:50:47 GMT 2025","passed","Fri Feb 07 02:50:47 GMT 2025","","Add Remove Elements","",""
"","233","validate, hearder text and ab testing header text","","Fri Feb 07 02:50:45 GMT 2025","passed","Fri Feb 07 02:50:45 GMT 2025","","A/B Testing","",""
"","828","validate, login successful text","","Fri Feb 07 02:50:49 GMT 2025","passed","Fri Feb 07 02:50:50 GMT 2025","","Form Authentication","",""
"","382","validate, add element button is visible","","Fri Feb 07 02:50:46 GMT 2025","passed","Fri Feb 07 02:50:47 GMT 2025","","Add Remove Elements","",""
"","354","validate, delete button is not visible & not exist","","Fri Feb 07 02:50:47 GMT 2025","passed","Fri Feb 07 02:50:48 GMT 2025","","Add Remove Elements","",""
