"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 02:23:11 GMT 2024","Sun Feb 18 02:23:11 GMT 2024","307","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Feb 18 02:23:09 GMT 2024","Sun Feb 18 02:23:09 GMT 2024","262","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Feb 18 02:23:11 GMT 2024","Sun Feb 18 02:23:11 GMT 2024","365","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Feb 18 02:23:10 GMT 2024","Sun Feb 18 02:23:11 GMT 2024","431","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Feb 18 02:23:13 GMT 2024","Sun Feb 18 02:23:14 GMT 2024","894","","Form Authentication","","","","validate, login successful text",""
