"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","validate, hearder text and ab testing header text","","Fri Jan 30 04:12:10 UTC 2026","passed","Fri Jan 30 04:12:10 UTC 2026","","A/B Testing","",""
"","397","validate, add element button is visible","","Fri Jan 30 04:12:11 UTC 2026","passed","Fri Jan 30 04:12:12 UTC 2026","","Add Remove Elements","",""
"","347","validate, delete button is not visible & not exist","","Fri Jan 30 04:12:12 UTC 2026","passed","Fri Jan 30 04:12:12 UTC 2026","","Add Remove Elements","",""
"","274","validate, delete button is visible & exist","","Fri Jan 30 04:12:12 UTC 2026","passed","Fri Jan 30 04:12:12 UTC 2026","","Add Remove Elements","",""
"","822","validate, login successful text","","Fri Jan 30 04:12:14 UTC 2026","passed","Fri Jan 30 04:12:15 UTC 2026","","Form Authentication","",""
