"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","351","validate, delete button is not visible & not exist","","Sat Mar 15 02:54:42 GMT 2025","passed","Sat Mar 15 02:54:42 GMT 2025","","Add Remove Elements","",""
"","272","validate, delete button is visible & exist","","Sat Mar 15 02:54:42 GMT 2025","passed","Sat Mar 15 02:54:42 GMT 2025","","Add Remove Elements","",""
"","179","validate, hearder text and ab testing header text","","Sat Mar 15 02:54:40 GMT 2025","passed","Sat Mar 15 02:54:40 GMT 2025","","A/B Testing","",""
"","861","validate, login successful text","","Sat Mar 15 02:54:44 GMT 2025","passed","Sat Mar 15 02:54:45 GMT 2025","","Form Authentication","",""
"","365","validate, add element button is visible","","Sat Mar 15 02:54:41 GMT 2025","passed","Sat Mar 15 02:54:42 GMT 2025","","Add Remove Elements","",""
