"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","validate, hearder text and ab testing header text","","Wed Apr 22 04:50:16 UTC 2026","passed","Wed Apr 22 04:50:16 UTC 2026","","A/B Testing","",""
"","443","validate, add element button is visible","","Wed Apr 22 04:50:18 UTC 2026","passed","Wed Apr 22 04:50:18 UTC 2026","","Add Remove Elements","",""
"","357","validate, delete button is not visible & not exist","","Wed Apr 22 04:50:18 UTC 2026","passed","Wed Apr 22 04:50:19 UTC 2026","","Add Remove Elements","",""
"","806","validate, login successful text","","Wed Apr 22 04:50:20 UTC 2026","passed","Wed Apr 22 04:50:21 UTC 2026","","Form Authentication","",""
"","283","validate, delete button is visible & exist","","Wed Apr 22 04:50:18 UTC 2026","passed","Wed Apr 22 04:50:18 UTC 2026","","Add Remove Elements","",""
